agent_0	agent_1	agent_10	agent_11	agent_12	agent_13	agent_14	agent_15	agent_16	agent_17	agent_18	agent_19	agent_2	agent_20	agent_21	agent_22	agent_23	agent_24	agent_25	agent_26	agent_27	agent_28	agent_29	agent_3	agent_30	agent_31	agent_32	agent_33	agent_34	agent_35	agent_36	agent_37	agent_38	agent_39	agent_4	agent_40	agent_41	agent_42	agent_43	agent_44	agent_45	agent_46	agent_47	agent_48	agent_49	agent_5	agent_50	agent_51	agent_52	agent_53	agent_54	agent_55	agent_56	agent_57	agent_58	agent_59	agent_6	agent_60	agent_61	agent_62	agent_63	agent_64	agent_65	agent_66	agent_67	agent_68	agent_69	agent_7	agent_70	agent_71	agent_72	agent_73	agent_74	agent_75	agent_76	agent_77	agent_78	agent_79	agent_8	agent_80	agent_81	agent_82	agent_83	agent_84	agent_85	agent_86	agent_87	agent_88	agent_89	agent_9	agent_90	agent_91	agent_92	agent_93	agent_94	agent_95	agent_96	agent_97	agent_98	agent_99	Route	Average																																																	
5895.0	5892.0	5906.0	5906.0	5869.0	5898.0	5892.0	5911.0	5904.0	5908.0	5898.0	5929.0	5886.0	5928.0	5892.0	5861.0	5886.0	5918.0	5929.0	5916.0	5889.0	5954.0	5948.0	5927.0	5897.0	5911.0	5891.0	5913.0	5969.0	5916.0	5880.0	5914.0	5877.0	5886.0	5896.0	5896.0	5892.0	5924.0	5900.0	5948.0	5903.0	5882.0	5918.0	5924.0	5949.0	5931.0	5898.0	5923.0	5929.0	5878.0	5897.0	5923.0	5874.0	5906.0	5931.0	5898.0	5897.0	5940.0	5873.0	5926.0	5902.0	5892.0	5942.0	5898.0	5947.0	5923.0	5925.0	5909.0	5924.0	5930.0	5940.0	5882.0	5893.0	5906.0	5918.0	5930.0	5932.0	5920.0	5922.0	5893.0	5931.0	5868.0	5914.0	5893.0	5898.0	5908.0	5891.0	5906.0	5911.0	5913.0	5904.0	5926.0	5894.0	5912.0	5908.0	5896.0	5921.0	5886.0	5927.0	5908.0	5908.95																																																		
6865.0	5902.0	6916.0	5922.0	5890.0	5922.0	6920.0	5907.0	5894.0	6839.0	5906.0	5922.0	5880.0	5939.0	6915.0	6872.0	6846.0	6865.0	6889.0	6896.0	5925.0	6880.0	6873.0	6884.0	5925.0	5884.0	6908.0	5861.0	6861.0	5855.0	6817.0	5865.0	6843.0	5914.0	6831.0	5957.0	5952.0	6855.0	6864.0	5878.0	6874.0	5923.0	6870.0	5926.0	5906.0	6869.0	5900.0	6849.0	5909.0	6896.0	6891.0	5959.0	6900.0	6851.0	5872.0	6889.0	6869.0	6904.0	5942.0	5956.0	6959.0	6922.0	5906.0	5949.0	6913.0	5917.0	5922.0	6866.0	5957.0	6935.0	6909.0	5900.0	5984.0	5869.0	5988.0	5894.0	6912.0	5942.0	5908.0	5948.0	5933.0	5939.0	6866.0	6888.0	5895.0	5946.0	5943.0	5926.0	5982.0	5880.0	6860.0	5919.0	6830.0	6852.0	6863.0	5935.0	6876.0	6890.0	5914.0	5900.0	5889.0	6860.0	6862.0	5867.0	5880.0	5923.0	6874.0	6885.0	5873.0	5915.0	5890.0	6863.0	6878.0	5903.0	5910.0	5904.0	5886.0	6848.0	5886.0	5896.0	6883.0	6879.0	5987.0	6862.0	6906.0	5909.0	5916.0	5909.0	5926.0	6945.0	5899.0	6858.0	5882.0	6885.0	6903.0	6871.0	5881.0	5963.0	6928.0	5917.0	5904.0	5904.0	6933.0	6867.0	5925.0	7016.0	6881.0	6908.0	6938.0	5891.0	6359.993333333333
6864.0	6859.0	6893.0	5910.0	6878.0	6867.0	5902.0	6882.0	6909.0	5917.0	5899.0	5882.0	5914.0	5929.0	5892.0	6865.0	5895.0	6901.0	6859.0	5902.0	6875.0	5912.0	5858.0	6852.0	5911.0	5938.0	5933.0	6853.0	5908.0	5886.0	6878.0	5913.0	5926.0	6858.0	6864.0	5895.0	6902.0	6957.0	6958.0	6884.0	6887.0	6945.0	6849.0	6891.0	5881.0	6883.0	5915.0	6870.0	5871.0	6895.0	6433.34																																																																																																				
5920.0	5887.0	5907.0	5916.0	5928.0	6879.0	5951.0	5929.0	6852.0	5936.0	5861.0	5925.0	5927.0	6862.0	5897.0	5895.0	6903.0	6894.0	5922.0	5906.0	5912.0	5875.0	6862.0	6870.0	6878.0	5907.0	5891.0	5912.0	6878.0	5851.0	6800.0	6877.0	5855.0	5857.0	5922.0	6856.0	5880.0	5914.0	5881.0	6841.0	6871.0	5867.0	5934.0	5895.0	6864.0	6840.0	6876.0	5954.0	5939.0	6840.0	6249.92																																																																																																				
6975.0	5882.0	5899.0	6893.0	6957.0	5956.0	6862.0	6922.0	6860.0	5921.0	6862.0	6881.0	6865.0	5905.0	6902.0	6823.0	6908.0	6854.0	5902.0	5903.0	5912.0	6870.0	6886.0	6903.0	6865.0	6834.0	5907.0	6858.0	6858.0	5882.0	5865.0	6895.0	5929.0	6863.0	5914.0	5923.0	6825.0	5915.0	5894.0	6866.0	6855.0	5910.0	6914.0	5890.0	6984.0	6869.0	5888.0	6888.0	6919.0	5901.0	6492.28																																																																																																				
5911.0	6873.0	6867.0	5883.0	5915.0	6887.0	5905.0	6860.0	6905.0	5908.0	6845.0	6821.0	5895.0	5884.0	6852.0	5917.0	5904.0	6873.0	6898.0	5934.0	5907.0	5926.0	5920.0	5907.0	5906.0	6866.0	5922.0	6890.0	5920.0	6851.0	6891.0	6873.0	6871.0	5912.0	5898.0	6943.0	5900.0	6885.0	5905.0	6876.0	6906.0	5909.0	6887.0	5900.0	5898.0	5871.0	6914.0	5896.0	6892.0	5902.0	6353.62																																																																																																				
6882.0	5899.0	5903.0	6813.0	6843.0	5900.0	5911.0	5936.0	5899.0	5929.0	5887.0	5913.0	5893.0	6911.0	6826.0	5908.0	5906.0	5897.0	6842.0	5912.0	5909.0	5960.0	6891.0	6919.0	5879.0	6872.0	5900.0	5935.0	5873.0	6847.0	6873.0	5869.0	5890.0	5881.0	6871.0	5917.0	5918.0	6838.0	6899.0	6888.0	5890.0	6873.0	6893.0	5889.0	5912.0	5896.0	6882.0	5872.0	5915.0	6881.0	6270.84																																																																																																				
5865.0	5890.0	5895.0	6838.0	5928.0	5920.0	5897.0	6849.0	5902.0	5897.0	5863.0	6858.0	6849.0	5907.0	5878.0	5899.0	6872.0	5940.0	5911.0	6877.0	6874.0	5891.0	6883.0	5919.0	5887.0	5880.0	6890.0	5910.0	5887.0	5927.0	6883.0	5895.0	6859.0	5899.0	6857.0	5907.0	6909.0	6847.0	6903.0	5909.0	6880.0	6935.0	6952.0	6870.0	6869.0	5892.0	5934.0	5891.0	5921.0	5924.0	6292.38																																																																																																				
6908.0	6943.0	6893.0	6875.0	5898.0	6900.0	5901.0	5908.0	6858.0	5887.0	5889.0	5894.0	6845.0	5878.0	5912.0	5922.0	5901.0	6854.0	5895.0	5919.0	6883.0	5902.0	5905.0	5883.0	6822.0	5882.0	6876.0	6863.0	6860.0	6883.0	6905.0	5930.0	6873.0	5869.0	6879.0	6931.0	6914.0	6869.0	5872.0	6916.0	5884.0	5881.0	6910.0	6852.0	6911.0	5857.0	6882.0	5929.0	5903.0	5927.0	6390.66																																																																																																				
6872.0	6860.0	5995.0	5933.0	5917.0	6862.0	5906.0	5906.0	6866.0	6887.0	5907.0	5918.0	5938.0	6866.0	6855.0	6861.0	5886.0	5903.0	6857.0	5946.0	6851.0	5909.0	6869.0	6854.0	6882.0	6889.0	6864.0	5891.0	5890.0	6855.0	5929.0	6871.0	6922.0	6904.0	5880.0	5878.0	5889.0	6833.0	5909.0	6919.0	6831.0	5912.0	6863.0	5927.0	5883.0	5906.0	5927.0	5964.0	5942.0	6897.0	6373.62																																																																																																				
